# original_en.tsv — glossary of original (non-English) labels -> English
# Format: original<TAB>english  (one pair per line; # starts a comment)
# Only store real translations (skip English→English).
# Updated when the user revises translations on the posting review page.
analüütik	Analyst
andmeanalüütik	Data Analyst
andmeinsener	Data Engineer
tarkvaraarendaja	Software Developer
projektijuht	Project Manager
Süsteemianalüütik	Systems Analyst
Arendaja (Sisemiste teenuste arendus)	Developer
Technical Lead – Fleet Management SaaS	Technical Lead
Java arhitekt tervisevaldkonda	JAVA development architect
Java arendus	Java development
relatsioonilised andmemudelite disain	relational and non-relational data model design
mitterelatsiooniliste andmemudelite disain	PostgreSQL, MongoDB or MySQL/MariaDB
PostgreSQL	microservices
MongoDB	distributed systems
MySQL/MariaDB	modular monoliths
mikroteenused	front-end frameworks
hajussüsteemid	API design
modulaarsed monoliidid	network technologies
front-end raamistikud	security and maintainability
API disain	Estonian language proficiency
võrgutehnoloogiad	English language proficiency (B2)
turvalisus	testing mindset
jõudlus ja hooldatavus	clean code principles
eesti keel	architectural consistency
inglise keel	Agile development environments
testimine	e-service design
puhas kood	architecture documentation creation
Scrum	technological vision explanation to teams
Kanban	cloud-based solutions understanding
DevOps praktikatest	best DevOps practices
IT Support Specialist (m/f/d)	IT Support Specialist
Product Owner (Finance & Accounting)	Product Owner
AI Security Engineer (System Security)	AI Security Engineer
automatiseerimine	automation
Senior Business Analyst, Ads & Monetization	Senior Business Analyst
System Administrator in Data Enablers team | SEB, Tallinn	System Administrator
Central Operations Specialist – Efficiency	Central Operations Specialist
SAP ABAP Developer (S/4HANA)	SAP ABAP Developer
Kovalehendajalihituselisa teenusteen arendamise koordinaator	Senior Software Engineer
Security Analyst (Junior/Mid-Level)	Security Analyst
Senior Software Developer (m/w/d)	Senior Software Developer
Süsteemiadministraator (Microsoft)	System Administrator (Microsoft)
CS Data Analyst	Data Analyst
Risk Manager in Risk Data and Monitoring Unit	Risk Manager
Senior Machine Learning Engineer, Delivery Merchant	Senior Machine Learning Engineer
Data Engineer (Products & Systems)	Data Engineer
Data Analyst (Products & Systems)	Data Analyst
Data Analyst (Performance Management & Analysis)	Data Analyst
AI Security Engineer (Application Security)	AI Security Engineer
Forward Deployed AI Engineer	AI Engineer
AI Tehnoloogia juht/ AI Technology Lead	Chief of AI Technologies
Senior Product Analyst - Customer Reporting	Senior Analyst
Mid/Senior Data Engineer (Risk and Finance Reporting)	Mid/Senior Data Engineer
Database Administrator (MS SQL Server)	Database Administrator
ANDMEHALDUR	Data Administrator
Juhtiv andmeanalüütik	Senior Data Analyst
KLIIMAANALÜÜTIK	Climate Analyst
